tweet_id,clean_message,ground_truth_intent,predicted_intent,is_correct,rule_triggered
331722,why does my battery drain 65% in 7 hrs when not in use?I could go 2 days w/o charging now I have to charge 3 times a day.....,battery_drain_charging,battery_drain_charging,True,battery_drain_charging [term: 'battery']
908482,And it’s not just the battery. So many apps are not working well and the connectivity within apps is terrible.,battery_drain_charging,battery_drain_charging,True,battery_drain_charging [term: 'battery']
2206027,Is there a fast/quick charger for #iPhone8Plus available separately? Could you send me an link plz?,other_general_inquiry,battery_drain_charging,False,battery_drain_charging [term: 'charger']
1679181,when are you planning to fix the battery drain issue. Have to literally charge my phone thrice in a day. #iPhone6s#ios11.1,network_wifi_cellular,battery_drain_charging,False,battery_drain_charging [term: 'battery']
1959853,I don’t wanna upgrade my phone but the battery keeps dying idk what to do. And it’s all because of this update. Thank you so much,os_update_installation,battery_drain_charging,False,battery_drain_charging [term: 'battery']
2789230,Updated my iPhone to 11.1.2 and the battery drain is worse than ever. From 100% to 10% in less than 6 hours is absolutely ridiculous.,battery_drain_charging,battery_drain_charging,True,battery_drain_charging [term: 'battery']
2031590,thank you for killing my battery life with that last update.,keyboard_text_glitch,battery_drain_charging,False,battery_drain_charging [term: 'battery']
2294682,IOS11 Battery drain makes no sense. what the hell?,bluetooth_airpods_carplay,battery_drain_charging,False,battery_drain_charging [term: 'battery']
1859921,since downloading iOS 11. the battery on my phone and iPad runs down extremely quickly.,apple_id_account_access,battery_drain_charging,False,battery_drain_charging [term: 'battery']
1713769,hey. How do I check my battery capacity ?,keyboard_text_glitch,battery_drain_charging,False,battery_drain_charging [term: 'battery']
2922732,"I've deleted over 500 pics, I have 3 apps left on my phone.. the screen keeps freezing and the whole phone gets super hot. I hate you.",screen_touch_freeze,battery_drain_charging,False,battery_drain_charging [term: 'hot']
2002478,hey Apple the new emojis are really cool but how about an update for my extremely shitty battery life 😑😩,apple_id_account_access,battery_drain_charging,False,battery_drain_charging [term: 'battery']
215778,battery life is terrible since iOS11. Why does 5min of background in mail use 10%? https://t.co/BB7OJIh2B8,hardware_buttons_audio,battery_drain_charging,False,battery_drain_charging [term: 'battery']
1969986,Yooo 👋🏾 sooooo what’s up with this battery dying fast right after I updated to iOS 11??? ☹️,network_wifi_cellular,battery_drain_charging,False,battery_drain_charging [term: 'battery']
1821748,Man ever since this stupid iOS 11.0.2 my phone been dying fast as hell y’all need to fix this.,os_update_installation,battery_drain_charging,False,battery_drain_charging [term: 'dying']
2020287,I️ do not want to turn off autocorrect. I️ just want it fixed. 😭 wh-I️ !??,apple_id_account_access,keyboard_text_glitch,False,keyboard_text_glitch [term: 'autocorrect']
2282702,Ummm y’all need to fix this software shit! First that question mark shit. Now my damn airplay won’t play videos. Smh.,keyboard_text_glitch,keyboard_text_glitch,True,keyboard_text_glitch [term: 'question mark']
1543316,why the FUCK is the letter i️ turning into a question mark,billing_subscription_refund,keyboard_text_glitch,False,keyboard_text_glitch [term: 'letter i']
1683427,Hey any chance you’re going fix this keyboard issue soon? I’m getting really sick of this shit.,billing_subscription_refund,keyboard_text_glitch,False,keyboard_text_glitch [term: 'keyboard']
1640746,Sooo like when is going to fix this bs symbol-instead-of-a-letter!? Over it.,apple_id_account_access,keyboard_text_glitch,False,keyboard_text_glitch [term: 'symbol']
1656547,"You guys really need to fix this, eye’m tired of typing eye all the damn time",billing_subscription_refund,keyboard_text_glitch,False,keyboard_text_glitch [term: 'typing']
1552539,"I️ am having problems with my keyboard. Any timeline on a patch? I️ just updated and as you can see, I️ still have issues with I️.",hardware_buttons_audio,keyboard_text_glitch,False,keyboard_text_glitch [term: 'keyboard']
2138245,I have the newest iPhone update but some emojis only show the question mark like my phone doesn’t support it????,apple_id_account_access,keyboard_text_glitch,False,keyboard_text_glitch [term: 'question mark']
2060044,#ios11 what is this black line that I see below the #keyboard whenever I open it #annoying https://t.co/GoPfsOjJvu,billing_subscription_refund,keyboard_text_glitch,False,keyboard_text_glitch [term: 'keyboard']
2363149,"I'm seeing the iOS ""I"" autocorrect error on MacOS Messages on my MacBook Pro - in texts received from a friend.
The messages display correctly on her phone and on my phone, they only display incorrectly on the Mac. https://t.co/VIVm6U1ScY",bluetooth_airpods_carplay,keyboard_text_glitch,False,keyboard_text_glitch [term: 'autocorrect']
1756443,why do my I️’s not show up? Come on keyboard as A w/? So confused and all tried reset dictionary keyboard and updated,apple_id_account_access,keyboard_text_glitch,False,keyboard_text_glitch [term: 'keyboard']
1584671,what’s up with the question mark boxes for I after the update,bluetooth_airpods_carplay,keyboard_text_glitch,False,keyboard_text_glitch [term: 'question mark']
1548729,Hey why does my phone keep doing this with the A and the question mark? Not just on FB!!! #help #sos #why https://t.co/bHYy9BHDgP,billing_subscription_refund,keyboard_text_glitch,False,keyboard_text_glitch [term: 'question mark']
2375257,Anybody in my TL have the latest version of the MacBook Pro? It it giving you backlight and keyboard issues? what’s gong on?,hardware_buttons_audio,keyboard_text_glitch,False,keyboard_text_glitch [term: 'keyboard']
2095627,"Oye where’s the update to update the update that keeps closing apps, burning through my battery and messing with my keyboard?",keyboard_text_glitch,keyboard_text_glitch,True,keyboard_text_glitch [term: 'keyboard']
2408584,my AppStore says “unable to contact” each time I try searching ever since iOS 11 (iPhone). Works fine on iPad on same WiFi network. Workaround/fix please?,app_crash_download_error,network_wifi_cellular,False,network_wifi_cellular [term: 'searching']
