tweet_id,clean_message,provisional_intent,expected_action,escalation_expected,reviewer_label,reviewer_action,reviewer_escalation,reviewer_notes,review_status
331722,why does my battery drain 65% in 7 hrs when not in use?I could go 2 days w/o charging now I have to charge 3 times a day.....,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,,VERIFIED - GOLDEN
908482,And it’s not just the battery. So many apps are not working well and the connectivity within apps is terrible.,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or setting temporary Text Replacement workaround.,False,,VERIFIED - GOLDEN
2206027,Is there a fast/quick charger for #iPhone8Plus available separately? Could you send me an link plz?,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,network_wifi_cellular,"Suggest toggling Airplane Mode, restarting phone, or resetting Network Settings.",False,,VERIFIED - GOLDEN
1679181,when are you planning to fix the battery drain issue. Have to literally charge my phone thrice in a day. #iPhone6s#ios11.1,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,network_wifi_cellular,"Suggest toggling Airplane Mode, restarting phone, or resetting Network Settings.",False,,VERIFIED - GOLDEN
1959853,I don’t wanna upgrade my phone but the battery keeps dying idk what to do. And it’s all because of this update. Thank you so much,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,os_update_installation,Guide user through Settings > General > Software Update; provide Apple support link for recovery mode / iTunes backup.,False,,VERIFIED - GOLDEN
2789230,Updated my iPhone to 11.1.2 and the battery drain is worse than ever. From 100% to 10% in less than 6 hours is absolutely ridiculous.,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,,VERIFIED - GOLDEN
2031590,thank you for killing my battery life with that last update.,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or setting temporary Text Replacement workaround.,False,,VERIFIED - GOLDEN
2294682,IOS11 Battery drain makes no sense. what the hell?,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,bluetooth_airpods_carplay,Guide user to Settings > Bluetooth to forget device and re-pair; suggest network reset or case cleaning.,False,,VERIFIED - GOLDEN
1859921,since downloading iOS 11. the battery on my phone and iPad runs down extremely quickly.,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,apple_id_account_access,Direct user to iforgot.apple.com; explain account recovery wait period; escalate if identity proof needed.,False,,VERIFIED - GOLDEN
1713769,hey. How do I check my battery capacity ?,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or setting temporary Text Replacement workaround.,False,,VERIFIED - GOLDEN
2922732,"I've deleted over 500 pics, I have 3 apps left on my phone.. the screen keeps freezing and the whole phone gets super hot. I hate you.",battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,bluetooth_airpods_carplay,Guide user to Settings > Bluetooth to forget device and re-pair; suggest network reset or case cleaning.,False,,VERIFIED - GOLDEN
2002478,hey Apple the new emojis are really cool but how about an update for my extremely shitty battery life 😑😩,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,apple_id_account_access,Direct user to iforgot.apple.com; explain account recovery wait period; escalate if identity proof needed.,False,,VERIFIED - GOLDEN
215778,battery life is terrible since iOS11. Why does 5min of background in mail use 10%? https://t.co/BB7OJIh2B8,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,hardware_buttons_audio,"Run diagnostic steps; if physical failure persists, book Genius Bar appointment or send to service center.",False,,VERIFIED - GOLDEN
1969986,Yooo 👋🏾 sooooo what’s up with this battery dying fast right after I updated to iOS 11??? ☹️,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,network_wifi_cellular,"Suggest toggling Airplane Mode, restarting phone, or resetting Network Settings.",False,,VERIFIED - GOLDEN
1821748,Man ever since this stupid iOS 11.0.2 my phone been dying fast as hell y’all need to fix this.,battery_drain_charging,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,os_update_installation,Guide user through Settings > General > Software Update; provide Apple support link for recovery mode / iTunes backup.,False,,VERIFIED - GOLDEN
2020287,I️ do not want to turn off autocorrect. I️ just want it fixed. 😭 wh-I️ !??,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or configuring temporary Text Replacement workaround.,False,apple_id_account_access,Direct user to iforgot.apple.com; explain account recovery wait period; escalate if identity proof needed.,False,,VERIFIED - GOLDEN
2282702,Ummm y’all need to fix this software shit! First that question mark shit. Now my damn airplay won’t play videos. Smh.,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or configuring temporary Text Replacement workaround.,False,billing_subscription_refund,Direct user to reportaproblem.apple.com to view purchase history and request refund; guide to subscription cancellation.,False,,VERIFIED - GOLDEN
1543316,why the FUCK is the letter i️ turning into a question mark,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or configuring temporary Text Replacement workaround.,False,billing_subscription_refund,Direct user to reportaproblem.apple.com to view purchase history and request refund; guide to subscription cancellation.,False,,VERIFIED - GOLDEN
1683427,Hey any chance you’re going fix this keyboard issue soon? I’m getting really sick of this shit.,keyboard_text_glitch,Suggest updating to iOS 11.1.1 bug-fix release or configuring temporary Text Replacement workaround.,False,billing_subscription_refund,Direct user to reportaproblem.apple.com to view purchase history and request refund; guide to subscription cancellation.,False,,VERIFIED - GOLDEN
